id,canal,data,rating,local/loja,texto_original,sentimento,sentimento_score,categoria,subcategoria,tags,menciona_empregados,urgencia,palavras_chave,sugestao_acao,status
1,Google Reviews,2025-07-15,5,"Hotel Atlântico Palace","A estadia foi perfeita! O quarto era luxuoso, a vista incrível e o café da manhã delicioso. A equipe toda, especialmente o Ricardo do bar, foi muito atenciosa.","Positivo",0.9,"Serviço","Atendimento Geral","luxo,vista,café da manhã,atendimento excelente","Ricardo","Baixa","perfeita,luxuoso,vista incrível,Ricardo,atenciosa","Reconhecer e parabenizar a equipe, especialmente o Ricardo, pelo excelente serviço.","Concluído"
2,"Reclame Aqui",2025-07-22,1,"Hotel Atlântico Palace","O chuveiro do meu quarto simplesmente não esquentava. Fiquei dois dias tomando banho frio. Reclamei na recepção e nada foi feito.","Negativo",-0.9,"Infraestrutura","Banheiro","chuveiro quebrado,sem água quente,mau atendimento",,"Crítica","chuveiro,não esquentava,banho frio,nada foi feito","Enviar equipe de manutenção ao quarto imediatamente. Entrar em contato com o hóspede para oferecer uma compensação. Revisar processo de registro de reclamações.","A Fazer"
3,"Formulário de Feedback Interno",2025-06-30,3,"Pousada Vista Serrana","Adorei a piscina, muito limpa e bem cuidada. No entanto, o Wi-Fi no quarto 304 era praticamente inexistente, o que atrapalhou meu trabalho.","Misto",0.2,"Infraestrutura","Conectividade","piscina boa,wi-fi ruim",,"Média","piscina,limpa,Wi-Fi,inexistente,quarto 304","Verificar o roteador ou ponto de acesso que atende o quarto 304. Considerar a instalação de um repetidor de sinal se necessário.","A Fazer"
4,Facebook,2025-08-01,3,"Hotel Atlântico Palace","O serviço de quarto foi rápido e a comida estava ótima, mas achei o preço do estacionamento um absurdo.","Misto",0.1,"Serviço","Preço","serviço de quarto bom,estacionamento caro",,"Baixa","serviço de quarto,rápido,comida ótima,preço estacionamento,absurdo","Analisar a tabela de preços de estacionamento em comparação com concorrentes da região.","Em Análise"
5,"Booking.com",2025-05-20,5,"Pousada Vista Serrana","A localização é fantástica, perto de tudo. A funcionária da limpeza, que infelizmente não lembro o nome, foi extremamente simpática e deixou o quarto impecável todos os dias.","Positivo",0.8,"Localização","Conveniência","localização excelente,limpeza impecável,funcionária simpática","Não especificado","Baixa","localização,fantástica,limpeza,impecável,simpática","Transmitir o elogio geral para a equipe de governança.","Concluído"
6,"Google Reviews",2025-07-28,2,"Resort Beira Mar","Check-in demorou uma eternidade. Apenas uma pessoa, a Ana, para atender uma fila enorme. Ela parecia sobrecarregada, mas foi educada.","Negativo",-0.6,"Serviço","Recepção","check-in lento,fila longa,poucos funcionários","Ana","Alta","check-in,demorou,fila,Ana,sobrecarregada","Revisar a escala de funcionários da recepção para horários de pico. Oferecer suporte adicional.","A Fazer"
7,TripAdvisor,2025-07-18,2,"Hotel Atlântico Palace","O ar condicionado do quarto era muito barulhento, impossível dormir. Tive que desligar e passar calor.","Negativo",-0.8,"Infraestrutura","Quarto","ar condicionado,barulhento,problema de sono",,"Alta","ar condicionado,barulhento,impossível dormir,passar calor","Agendar manutenção corretiva imediata para o ar condicionado do quarto em questão.","A Fazer"
8,"Instagram (DM)",2025-06-11,4,"Pousada Vista Serrana","A decoração do lobby é um pouco antiga, mas o atendimento do mensageiro Pedro foi nota 10, muito prestativo com as malas!","Misto",0.4,"Design","Áreas Comuns","decoração antiga,atendimento excelente","Pedro","Baixa","decoração,antiga,lobby,mensageiro,Pedro","Incluir o lobby no próximo ciclo de planejamento de reformas. Reconhecer o excelente trabalho do Pedro.","Em Análise"
9,"E-mail Direto",2025-08-02,5,"Resort Beira Mar","Gostaria de registrar meu elogio à equipe do restaurante. O jantar estava divino e o ambiente muito agradável. Foi uma noite especial.","Positivo",1,"Alimentos & Bebidas","Restaurante","jantar excelente,ambiente agradável",,"Baixa","elogio,restaurante,jantar divino,ambiente agradável","Parabenizar toda a equipe da cozinha e do salão do restaurante.","Concluído"
10,"Google Reviews",2025-07-05,2,"Hotel Central","O hotel é bom, mas o barulho vindo da rua era muito alto. As janelas não vedam o som direito.","Negativo",-0.5,"Infraestrutura","Quarto","barulho,janela,isolamento acústico",,"Média","barulho,rua,alto,janelas","Avaliar a possibilidade de instalar janelas antirruído nos quartos mais expostos.","Em Análise"
11,"Formulário de Feedback Interno",2025-05-15,2,"Resort Beira Mar","O processo de reserva online foi confuso. Tive que ligar para confirmar se estava tudo certo.","Negativo",-0.4,"Serviço","Reserva","site confuso,processo online",,"Média","reserva online,confuso,ligar,confirmar","Revisar a usabilidade (UX) do motor de reservas no site oficial.","A Fazer"
12,"Booking.com",2025-06-25,4,"Hotel Central","Hotel simples, mas muito limpo. Ótimo custo-benefício. Perfeito para quem viaja a trabalho.","Positivo",0.7,"Custo-Benefício","Geral","limpeza,custo-benefício,viagem a trabalho",,"Baixa","limpo,custo-benefício,simples,trabalho","Manter o padrão de limpeza e a política de preços competitiva para o segmento corporativo.","Concluído"
13,"Reclame Aqui",2025-08-04,1,"Hotel Atlântico Palace","Fui cobrado por um item do frigobar que não consumi. O atendente Carlos foi inflexível e não quis resolver. Tive que pagar para não perder meu voo. Um absurdo!","Negativo",-1,"Financeiro","Cobrança","cobrança indevida,frigobar,atendimento ruim","Carlos","Crítica","cobrado,não consumi,Carlos,inflexível,absurdo","Revisar a cobrança, estornar o valor ao cliente imediatamente. Reorientar o funcionário Carlos sobre os procedimentos de contestação de cobrança.","A Fazer"
14,"Google Reviews",2025-07-11,4,"Resort Beira Mar","A academia é pequena, mas os equipamentos são novos e de boa qualidade. Deu para fazer meu treino tranquilamente.","Positivo",0.6,"Infraestrutura","Academia","academia pequena,equipamentos novos",,"Baixa","academia,pequena,equipamentos novos,boa qualidade","Monitorar a ocupação da academia para avaliar a necessidade de expansão futura.","Concluído"
15,TripAdvisor,2025-05-29,3,"Pousada Vista Serrana","A comida do restaurante é ok, nada demais. Mas a vista do terraço é espetacular, vale a visita só por isso.","Misto",0.3,"Design","Áreas Comuns","comida razoável,vista espetacular",,"Baixa","comida,ok,vista,terraço,espetacular","Analisar o cardápio do restaurante para identificar oportunidades de melhoria.","Em Análise"
16,WhatsApp,2025-08-01,1,"Constrular Materiais","Comprei 50 sacos de cimento e a entrega atrasou 3 dias, comprometendo todo o cronograma da minha obra. O vendedor Jonas não me deu nenhuma satisfação.","Negativo",-0.9,"Logística","Prazo de Entrega","entrega atrasada,falta de comunicação,obra parada","Jonas","Crítica","cimento,entrega atrasou,cronograma,Jonas,sem satisfação","Verificar o motivo do atraso com a equipe de logística. Entrar em contato com o cliente para se desculpar e informar a nova data de entrega.","A Fazer"
17,"Google Reviews",2025-07-20,5,"Reforma Total Depósito","Fui muito bem atendido pelo consultor Fernando. Ele entendeu minha necessidade e indicou o piso vinílico perfeito para minha reforma. Paciente e técnico!","Positivo",1,"Atendimento","Venda Consultiva","atendimento excelente,conhecimento técnico,solução de problemas","Fernando","Baixa","bem atendido,Fernando,piso vinílico,paciente,técnico","Reconhecer publicamente o trabalho do consultor Fernando. Utilizar o feedback como exemplo em treinamentos de vendas.","Concluído"
18,"E-mail para o SAC",2025-07-25,2,"Obra&Cia","Comprei uma lata de tinta que veio com a cor errada. O rótulo dizia 'Branco Neve', mas o conteúdo era claramente um tom de gelo. Tive que parar a pintura no meio.","Negativo",-0.8,"Produto","Qualidade/Conformidade","cor errada,lote com problema,erro de fabricação",,"Alta","tinta,cor errada,rótulo,Branco Neve,gelo","Solicitar o número do lote ao cliente para rastreabilidade. Providenciar a troca imediata do produto. Notificar o setor de qualidade sobre a falha.","A Fazer"
19,"Reclame Aqui",2025-07-30,2,"Constrular Materiais","O preço do porcelanato no site era um, na loja era outro, bem mais caro. A vendedora disse que o site estava desatualizado. Propaganda enganosa!","Negativo",-0.7,"Comercial","Política de Preços","preço diferente,site desatualizado,propaganda enganosa","Não especificado","Alta","preço,site,loja,diferente,desatualizado","Corrigir o preço no site com urgência. Honrar o preço do site para o cliente que reclamou. Criar um processo de auditoria de preços.","A Fazer"
20,"Google Reviews",2025-06-18,3,"Reforma Total Depósito","Variedade incrível de produtos e o estoque é sempre bem organizado. Mas o estacionamento é muito pequeno, difícil achar vaga nos fins de semana.","Misto",0.3,"Infraestrutura","Loja Física","variedade de produtos,boa organização,estacionamento pequeno",,"Baixa","variedade,estoque organizado,estacionamento,pequeno,difícil","Avaliar a possibilidade de convênios com estacionamentos próximos ou otimização do layout das vagas existentes.","Em Análise"
21,WhatsApp,2025-08-05,5,"Obra&Cia","Precisei de uma telha específica que estava em falta. A atendente Lúcia foi super proativa, ligou para outra filial e conseguiu reservar pra mim. Salvou minha obra!","Positivo",0.9,"Atendimento","Proatividade","proatividade,resolução de problemas,estoque","Lúcia","Baixa","telha,em falta,Lúcia,proativa,reservar","Elogiar e premiar a funcionária Lúcia por sua iniciativa e foco no cliente.","Concluído"
22,Telefone,2025-07-14,1,"Constrular Materiais","O material chegou quebrado. As caixas de azulejo estavam todas danificadas no transporte. Impossível usar.","Negativo",-1,"Logística","Qualidade da Entrega","produto danificado,avaria no transporte,perda de material",,"Crítica","material quebrado,azulejo,danificadas,transporte","Agendar uma nova entrega com o produto de reposição em caráter de urgência. Recolher o material danificado para análise.","A Fazer"
23,"Google Reviews",2025-07-29,2,"Reforma Total Depósito","O atendimento no balcão de retirada é muito lento. Fiquei 30 minutos esperando mesmo já tendo pago online. O rapaz que me atendeu, cujo nome não vi, parecia perdido.","Negativo",-0.6,"Logística","Retirada em Loja","atendimento lento,espera longa,desorganização","Não especificado","Média","retirada,lento,esperando,pago online,perdido","Revisar e otimizar o processo de 'Clique e Retire'. Investir em treinamento para a equipe do balcão de retirada.","A Fazer"
24,"Formulário no Site",2025-06-22,4,"Constrular Materiais","O site é muito bom, fácil de navegar e encontrar os produtos. A calculadora de materiais me ajudou muito a não comprar errado.","Positivo",0.8,"Digital","Usabilidade do Site (UX)","site fácil,boa navegação,ferramenta útil",,"Baixa","site,fácil de navegar,calculadora de materiais,ajudou","Coletar mais feedbacks sobre a calculadora para possíveis melhorias e expansões.","Concluído"
25,"Google Reviews",2025-07-09,4,"Obra&Cia","Loja limpa, bem iluminada e com preço justo. A única coisa é que os corredores são um pouco apertados para passar com o carrinho.","Misto",0.5,"Infraestrutura","Layout da Loja","loja limpa,preço justo,corredores apertados",,"Baixa","limpa,preço justo,corredores,apertados,carrinho","Analisar o layout da loja para identificar pontos de estrangulamento e avaliar possíveis mudanças.","Em Análise"
26,"E-mail para o SAC",2025-05-31,2,"Reforma Total Depósito","O manual de instruções da furadeira que comprei é terrível. Só texto, sem nenhuma imagem. Tive que procurar um vídeo no YouTube para entender como montar.","Negativo",-0.4,"Produto","Documentação/Suporte","manual ruim,instruções confusas,falta de imagens",,"Média","manual,instruções,terrível,sem imagem,YouTube","Reportar o feedback ao fabricante da furadeira. Avaliar a criação de conteúdo de suporte próprio.","A Fazer"
27,Facebook,2025-07-26,5,"Constrular Materiais","Parabéns pelo atendimento do caixa, o senhor Roberto. Sempre muito simpático e ágil, mesmo com a loja cheia.","Positivo",0.9,"Atendimento","Caixa/Pagamento","atendimento ágil,simpatia,eficiência","Roberto","Baixa","parabéns,caixa,Roberto,simpático,ágil","Elogiar e reconhecer o funcionário Roberto pelo seu desempenho consistente.","Concluído"
28,"Google Reviews",2025-06-15,2,"Obra&Cia","Os vergalhões que recebi estavam com pontos de ferrugem, o que não é ideal. Não compromete a estrutura no meu caso, mas a qualidade poderia ser melhor.","Negativo",-0.3,"Produto","Qualidade/Conformidade","ferrugem,qualidade do material,armazenamento",,"Média","vergalhões,ferrugem,qualidade,melhor","Verificar as condições de armazenamento dos vergalhões no pátio para evitar exposição à umidade.","Em Análise"
29,"Reclame Aqui",2025-08-03,1,"Reforma Total Depósito","Comprei um chuveiro Lorenzetti que deu defeito com 1 semana de uso. A loja diz que a responsabilidade é do fabricante e o fabricante manda eu procurar a loja. Um jogo de empurra e eu fico com o prejuízo.","Negativo",-0.9,"Pós-Venda","Garantia/Troca","defeito no produto,jogo de empurra,problema com garantia",,"Crítica","chuveiro,defeito,garantia,fabricante,loja","Assumir a responsabilidade, efetuar a troca do produto para o cliente e depois resolver internamente com o fornecedor.","A Fazer"
30,"Formulário no Site",2025-07-19,3,"Constrular Materiais","A equipe de vendas por telefone é ótima, mas o sistema de pagamento online não aceitou meu cartão de crédito, embora ele tenha limite. Tive que fazer a compra por PIX.","Misto",0.1,"Digital","Pagamento Online","atendimento bom,problema com pagamento,cartão de crédito",,"Média","pagamento online,não aceitou,cartão de crédito,PIX","Analisar os logs do gateway de pagamento para identificar o motivo da recusa do cartão.","A Fazer"